category,order_count,revenue,avg_review,avg_freight,order_share,revenue_share
health_beauty,8836,1263138.54,4.1427682737169516,18.863322709982523,0.09016602549057624,0.09380114226195653
watches_gifts,5624,1206075.33,4.019159663865546,16.778215297450426,0.0573895119238344,0.08956360686133935
bed_bath_table,9417,1050936.61,3.8956631049654304,18.389787045252884,0.09609477841158402,0.07804294726286187
sports_leisure,7720,993656.51,4.107986111111111,19.502697701149426,0.0787779217731155,0.07378930552940711
computers_accessories,6689,919640.54,3.9308192126385526,18.80288066886243,0.06825719154668,0.06829285180579046
furniture_decor,6449,736282.47,3.9034929780338494,20.72496494355318,0.06580813698378522,0.05467661268054946
cool_stuff,3632,637258.51,4.146341463414634,22.131999474513925,0.03706235905180771,0.04732305622956643
housewares,5884,634542.6,4.055019444044361,20.9797438832451,0.06004265436697042,0.047121371733200204
auto,3897,594363.1,4.065511511986708,21.854109492481204,0.03976652346500403,0.0441376269766557
garden_tools,3518,486432.45,4.042735042735043,22.750307268975003,0.035899058134432685,0.03612265638200071
toys,3886,484769.9,4.158640919090687,18.797738181818183,0.03965427513087135,0.035999194794748675
baby,2885,412117.47000000003,4.011811023622047,22.300615034168562,0.0294396767247977,0.030603998063512182
perfumery,3162,400212.94,4.161940952937737,15.851994177583697,0.03226629386613876,0.0297199631958153
telephony,4199,323839.4,3.946867389860527,15.681665934065935,0.042848250456646635,0.02404843543878144
office_furniture,1273,275224.49,3.4931831653823355,40.481052322163436,0.01299019357735441,0.020438273968320556
stationery,2311,231300.21,4.193857199840447,18.58373861386139,0.023582354561874342,0.017176440442891103
computers,181,222963.13,4.175,48.45467980295566,0.0018469953161831484,0.01655732575169554
pet_shop,1710,214591.41,4.185146982980918,20.31779374037968,0.017449513760625326,0.0159356386810934
small_appliances,630,191571.48,4.149187592319055,23.667218155197656,0.006428768227598804,0.01422617003580111
musical_instruments,628,191523.78,4.152592592592592,27.38538913362702,0.006408359439574681,0.014222627815890777
electronics,2550,160376.63999999998,4.037468170243725,16.83980852601156,0.026021204730757065,0.011909629504404629
consoles_games,1062,158000.22,4.0230700976042595,17.437891036906855,0.010837066440809413,0.011733155662909651
fashion_bags_accessories,1864,153656.9,4.144678764100049,15.50210731707317,0.01902099043848281,0.011410619088885712
construction_tools_construction,748,145509.39,4.052915766738661,22.223469387755102,0.007632886721022072,0.010805581937069639
luggage_accessories,1034,140429.98,4.315257352941177,27.880247252747253,0.010551343408471688,0.01042838304325962
