state,total_orders,delayed_orders,delayed_avg_review,delayed_low_review_rate,avg_delay_days,delayed_low_review_rate_pct
SE,334,50,1.94,0.68,16.4,68.0
RJ,12214,1623,2.130434782608696,0.6693202694427434,12.061236987140232,66.93202694427434
PA,933,111,2.126126126126126,0.6666666666666666,11.612612612612613,66.66666666666666
RN,471,50,2.04,0.66,12.66,66.0
PE,1579,168,2.2797619047619047,0.6428571428571429,10.410714285714286,64.28571428571429
CE,1273,194,2.194871794871795,0.6358974358974359,13.451282051282051,63.589743589743584
AL,394,92,2.3118279569892475,0.6129032258064516,8.612903225806452,61.29032258064516
DF,2070,147,2.4295302013422817,0.5973154362416108,5.87248322147651,59.73154362416108
MA,712,137,2.4014598540145986,0.583941605839416,9.372262773722628,58.3941605839416
PB,512,55,2.4727272727272727,0.5818181818181818,8.872727272727273,58.18181818181818
PI,471,75,2.44,0.5733333333333334,11.68,57.333333333333336
RS,5326,378,2.5104712041884816,0.5575916230366492,8.730366492146597,55.75916230366492
BA,3229,443,2.568232662192394,0.5346756152125279,10.308724832214764,53.46756152125279
GO,1946,155,2.535031847133758,0.5222929936305732,9.038216560509554,52.22929936305732
SC,3520,339,2.6129032258064515,0.5190615835777126,6.747800586510264,51.90615835777126
MS,699,81,2.6341463414634148,0.5121951219512195,6.914634146341464,51.21951219512195
MG,11286,623,2.670926517571885,0.4984025559105431,6.803514376996805,49.84025559105431
ES,1969,234,2.7361702127659573,0.4978723404255319,9.004255319148935,49.787234042553195
MT,879,58,2.6551724137931036,0.4827586206896552,8.810344827586206,48.275862068965516
SP,40267,2349,2.9095541401273883,0.4454352441613588,6.3176220806794054,44.54352441613588
PR,4900,241,2.909465020576132,0.4444444444444444,6.707818930041152,44.44444444444444
