time,raw_close,pseudo_event,baseline_zscore,balanced_selected,conservative_selected
2019-04-14 12:18:00,189700,0.0,0,0,0
2019-04-14 12:19:00,189700,0.0,0,0,0
2019-04-14 12:20:00,189700,0.0,0,0,0
2019-04-14 12:21:00,189700,0.0,0,0,0
2019-04-14 12:22:00,189700,0.0,0,0,0
2019-04-14 12:23:00,189800,0.0,0,0,0
2019-04-14 12:24:00,189700,0.0,0,0,0
2019-04-14 12:25:00,189600,0.0,0,0,0
2019-04-14 12:26:00,189550,0.0,0,0,0
2019-04-14 12:27:00,189550,0.0,0,0,0
2019-04-14 12:28:00,189500,0.0,0,0,0
2019-04-14 12:29:00,189400,0.0,0,0,0
2019-04-14 12:30:00,189300,0.0,0,0,0
2019-04-14 12:31:00,189350,0.0,0,0,0
2019-04-14 12:32:00,189300,0.0,0,0,0
2019-04-14 12:33:00,189300,0.0,0,0,0
2019-04-14 12:34:00,189300,0.0,0,0,0
2019-04-14 12:35:00,189450,0.0,0,0,0
2019-04-14 12:36:00,189750,0.0,1,0,0
2019-04-14 12:37:00,189800,0.0,0,0,0
2019-04-14 12:38:00,189800,0.0,0,0,0
2019-04-14 12:39:00,189700,0.0,0,0,0
2019-04-14 12:40:00,189700,0.0,0,0,0
2019-04-14 12:41:00,189750,0.0,0,0,0
2019-04-14 12:42:00,189750,0.0,0,0,0
2019-04-14 12:43:00,189850,0.0,0,0,0
2019-04-14 12:44:00,189900,0.0,0,0,0
2019-04-14 12:45:00,189950,0.0,0,0,0
2019-04-14 12:46:00,189800,0.0,0,0,0
2019-04-14 12:47:00,189800,0.0,0,0,0
2019-04-14 12:48:00,189800,0.0,0,0,0
2019-04-14 12:49:00,189850,0.0,0,0,0
2019-04-14 12:50:00,189800,0.0,0,0,0
2019-04-14 12:52:00,189850,0.0,0,0,0
2019-04-14 12:53:00,189700,0.0,0,0,0
2019-04-14 12:54:00,190000,0.0,0,0,0
2019-04-14 12:57:00,190000,0.0,0,0,0
2019-04-14 12:58:00,190000,0.0,0,0,0
2019-04-14 12:59:00,189750,0.0,0,0,0
2019-04-14 13:00:00,189900,0.0,0,0,0
2019-04-14 13:01:00,190000,0.0,0,0,0
2019-04-14 13:02:00,190000,0.0,0,0,0
2019-04-14 13:03:00,190100,0.0,0,0,0
2019-04-14 13:04:00,190200,0.0,0,0,0
2019-04-14 13:05:00,190000,0.0,0,0,0
2019-04-14 13:06:00,190050,0.0,0,0,0
2019-04-14 13:07:00,190000,0.0,0,0,0
2019-04-14 13:08:00,190000,0.0,0,0,0
2019-04-14 13:09:00,189900,0.0,0,0,0
2019-04-14 13:10:00,189900,0.0,0,0,0
2019-04-14 13:11:00,190050,0.0,0,0,0
2019-04-14 13:12:00,190050,0.0,0,0,0
2019-04-14 13:13:00,190000,0.0,0,0,0
2019-04-14 13:14:00,190150,0.0,0,0,0
2019-04-14 13:15:00,190200,0.0,0,0,0
2019-04-14 13:16:00,190250,0.0,0,0,0
2019-04-14 13:17:00,190250,0.0,0,0,0
2019-04-14 13:18:00,190200,0.0,0,0,0
2019-04-14 13:19:00,190200,0.0,0,0,0
2019-04-14 13:22:00,190200,0.0,0,0,0
2019-04-14 13:23:00,190550,1.0,0,0,0
2019-04-14 13:24:00,190800,0.0,0,0,0
2019-04-14 13:25:00,190850,0.0,0,0,0
2019-04-14 13:26:00,191050,0.0,0,0,0
2019-04-14 13:27:00,190850,0.0,0,0,0
2019-04-14 13:28:00,191150,0.0,0,0,0
2019-04-14 13:29:00,191100,0.0,0,0,0
2019-04-14 13:30:00,190950,0.0,0,0,0
2019-04-14 13:31:00,191150,0.0,0,0,0
2019-04-14 13:32:00,191150,0.0,0,0,0
