time,open,high,low,close,volume,volume_cmf,volume_fi,volume_mfi,volume_sma_em,volume_vpt,volatility_atr,volatility_ui,trend_macd_diff,trend_adx,trend_trix,trend_mass_index,trend_dpo,trend_aroon_ind,momentum_rsi,momentum_wr,vol_change_5,ret_5,vol_change_10,ret_10,vol_change_20,ret_20,std_30,vol_std_30
2018-01-31,1356000.0,1358000.0,1354000.0,1356000.0,67.64426967,0.010482006848930664,778.8374455606845,50.76191062594096,144716785401.33008,0.0,4083.5796379109706,0.51038755110326,9.722446704874415,20.952109069210795,0.0020252530200322747,24.78532932536433,-50.0,15.0,50.63244329872388,-48.275862068965516,-0.020408,0.0,-0.01433,0.000267,-0.02132,0.000407,5876.213495379174,43.10293971811933
2018-02-28,986000.0,986600.0,985500.0,986000.0,36.306315495,-0.035183104745435054,-192.11992267492332,49.3413419264743,219444859745.79218,0.0,1649.0711893981297,0.33201816451899613,-0.8446424246660911,21.90252966938058,0.0005367320091596909,24.763536937674047,-25.0,10.0,50.2354038633588,-50.0,-0.029796000000000003,0.0,-0.022621000000000002,0.0,-0.0249495,0.0,2638.8923453123043,30.422074883598597
2018-03-31,660000.0,660800.0,659800.0,660100.0,12.30344001,-0.11555424497640619,-555.3379685612101,44.94448866431383,276917297702.6449,0.0,937.3579758209901,0.33062384566796543,-4.301534588353377,24.313912385756947,-0.0010793805717800853,24.732112733860536,-15.0,-5.0,48.943205285596726,-59.183673469387756,-0.007422,0.0,-0.005057,-0.000106,-0.021389,-0.000206,1599.946096202592,17.545822369899117
2018-04-30,541500.0,541900.0,541100.0,541500.0,18.63271854,-0.04594610030162095,146.29033278360896,50.61516971658802,165091174691.6153,0.0,811.8086717157228,0.2666846661743496,-3.07885985013759,24.559615749599452,0.0020645568586687983,24.73905781860473,-30.0,15.0,51.165014080274766,-50.943396226415096,-0.01021,0.0,-0.007576,0.000145,-0.008579,0.000373,1133.0763372312942,25.60511060489826
2018-05-31,768900.0,769400.0,768300.0,768800.0,16.61913553,-0.08727884314323282,-550.8487134064956,48.158574434613485,384105544290.1942,0.0,1153.012305482686,0.27436637296025895,-0.10587390770785987,23.808983955104672,0.0007507625771208589,24.74760357831672,-15.0,10.0,50.351471757270815,-51.851851851851855,-0.002972,0.0,-0.010984,0.0,-0.019157,0.000128,1604.7200254400143,23.338928355320952
2018-06-30,574000.0,574500.0,573500.0,574000.0,9.27792011,-0.05441017488021937,-208.14453821529528,47.83587634513246,160556290527.43033,0.0,739.5505576320608,0.24720895354489772,-3.93335671602199,22.479896134255153,-0.0003474154762667307,24.62822604476898,0.0,-5.0,49.59952171491635,-54.285714285714285,-0.016202,0.0,-0.0093,0.0,-0.017525,0.0,986.0870749259617,19.058707471726425
2018-07-31,523200.0,523500.0,523000.0,523200.0,7.172060345,-0.03726711687113072,-42.35288841495603,48.61829435392002,160699840192.14523,0.0,609.0950469616289,0.20305742770603155,-2.574381661209003,22.80225572220318,-0.00029035988544813096,24.665454472524708,-15.0,-5.0,49.74757413550537,-54.54545454545455,-0.012031,0.0,0.0032645,0.0,-0.0069385,0.0,742.6613515256162,15.752122104992964
2018-08-31,341050.0,341250.0,340850.0,341050.0,11.31222914,-0.08592450777910539,-150.27262959471838,47.04936629179768,53874908492.50099,0.0,487.6663590193001,0.24157110845897756,-1.9729462558735804,23.553219844614294,-0.0007997821192442774,24.697693566493598,-7.5,-5.0,49.34706065742035,-57.142857142857146,-4.2e-05,0.0,-0.008282,-0.000103,-0.007703,-0.000147,597.3984827250621,21.60044065060988
2018-09-30,249350.0,249550.0,249100.0,249350.0,32.272554185,0.00044266304267109836,-254.16061293706397,46.4883128009618,15384505724.112411,0.0,417.3289950055435,0.2912994497838106,-0.8658007305382398,22.889482666182914,-0.0005539593690261529,24.738280003141625,-2.5,-10.0,49.689552416787095,-51.851851851851855,-0.017655499999999998,0.0,-0.0230585,0.0,-0.0208525,-0.0001535,532.2257493286958,51.64404103354758
2018-10-31,230800.0,230900.0,230750.0,230800.0,13.961,-0.03387674860674196,-72.66462061750629,47.56901601361631,2967037998.933065,0.0,192.49602816934305,0.1421329152243326,-0.6640387718491993,21.07162022728435,-0.00033955310691709544,24.713270418663225,0.0,-5.0,49.6021214443869,-53.84615384615385,-0.004553,0.0,-0.014053,0.0,-0.02148,0.0,211.29021913418,30.310450553127062
