,momentum_wr,momentum_wr,momentum_rsi,momentum_rsi,ret_10,ret_10,trend_aroon_ind,trend_aroon_ind,ret_5,ret_5,volume_mfi,volume_mfi
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
t_value,,,,,,,,,,,,
-1.0,-63.874728579704865,-69.56521739130434,45.841345939601695,46.250386948692764,-0.0016664552555196819,-0.000966,-17.448194892867626,-35.0,-0.0009836374588265988,-0.000519,42.17648890598206,40.990172922575184
-0.0,-51.17144057553879,-50.98039215686274,49.91605024627783,49.8587246802284,-2.587949337505694e-05,0.0,-0.6717533817908142,5.0,-1.494273896998145e-05,0.0,47.86088133675346,47.56531547483553
1.0,-38.06553813107268,-33.333333333333336,54.09509793651255,53.586993978522926,0.0017179003872769983,0.000968,16.09251208778724,30.0,0.0010157385328918131,0.000504,53.69761906056279,54.27371854875275
