time,open,high,low,close,volume,ret_1,hl_range_pct,rv_30,vol_z_60,event_type
2017-10-31 23:09:00,398500,398500,347500,347500,0.01,-0.12797992471769137,0.14676258992805755,0.1970753085133586,,top_negative_return
2017-11-06 15:43:00,292500,292500,292500,292500,0.01,-0.15499061100678901,0.0,0.16956655770171658,-0.27018963877371166,top_negative_return
2017-11-12 07:10:00,358100,358100,340050,340800,106.51465966,-0.048310527785534796,0.05296361502347418,0.08069405970960933,1.6636581501301193,top_negative_return
2017-11-12 07:14:00,342150,342150,342150,342150,13.09911676,-0.04733398301545311,0.0,0.10342723002884073,-0.7316451241902865,top_negative_return
2017-11-12 07:16:00,359200,359200,342300,342400,39.56484302,-0.04677060133630284,0.04935747663551402,0.12255775355143574,-0.0982659143695411,top_negative_return
2017-11-13 01:06:00,395100,395100,373000,373100,63.7724315,-0.05568210579600097,0.059233449477351915,0.0722985123651455,6.0036347952955225e-05,top_negative_return
2017-12-06 13:59:00,556600,556600,305000,305000,35.92095724,-0.4520301832554797,0.8249180327868852,0.601635751330125,-0.2791170886373358,top_negative_return
2017-12-06 16:37:00,557800,558000,503000,503000,185.21083364,-0.09856630824372759,0.10934393638170974,0.8716208761877339,3.115326602951932,top_negative_return
2018-01-10 07:38:00,2147000,2155000,2017000,2032000,904.91881375,-0.052680652680652695,0.06791338582677166,0.08821429141067293,1.5372285278631594,top_negative_return
2018-01-11 05:23:00,1580000,1581000,1520000,1520000,1015.01085076,-0.047021943573667735,0.04013157894736842,0.09359166345473692,1.1710929812441133,top_negative_return
2018-01-16 22:41:00,1249500,1249500,1101000,1180000,634.05112954,-0.0556222488995598,0.12584745762711863,0.14596808795168087,0.7519231086384056,top_negative_return
2018-01-16 22:49:00,1271500,1279000,1200000,1200500,702.39905886,-0.05583955957530473,0.06580591420241566,0.16777505755841357,0.8771654761030512,top_negative_return
2018-01-17 20:19:00,1338000,1340000,1210000,1218500,467.4185435,-0.08897196261682239,0.10668855149774313,0.11061402579596231,2.0103150449670135,top_negative_return
2018-01-17 22:22:00,1378000,1381000,1312000,1312000,366.74905253,-0.046511627906976716,0.052591463414634144,0.05935519827343974,0.3824765160984198,top_negative_return
2018-12-20 16:29:00,137700,137800,127750,128250,7771.94184296,-0.06795058139534882,0.0783625730994152,0.1112021853494866,2.620708701544729,top_negative_return
2017-10-31 22:57:00,398500,398500,398500,398500,0.01,0.1451149425287357,0.0,0.13705427604034368,,top_positive_return
2017-11-06 15:55:00,347500,347500,347500,347500,0.01,0.18803418803418803,0.0,0.2456910690522651,-0.24883849725921667,top_positive_return
2017-11-12 07:15:00,342200,359200,342200,359200,22.5797142,0.0498319450533391,0.04732739420935412,0.11254639153190105,-0.5131044100013442,top_positive_return
2017-12-06 14:01:00,556700,556700,556500,556600,38.1275454,0.8249180327868852,0.00035932446999640676,0.8652897493554808,-0.22657615250312949,top_positive_return
2017-12-06 16:38:00,557700,557700,510000,557600,66.76032442,0.10854870775347902,0.08554519368723099,0.8780955627452004,0.7220038189133966,top_positive_return
2017-12-08 03:32:00,541900,569000,541500,568400,20.16547989,0.05045278137128073,0.04838142153413089,0.0626918381395785,-0.4260957394276913,top_positive_return
2017-12-13 01:57:00,680000,692700,680000,692700,91.97368317,0.06552838024919239,0.01833405514652808,0.07650282998965979,-0.5605399511803363,top_positive_return
2018-01-11 05:24:00,1523500,1620000,1512000,1614500,1260.30027105,0.06217105263157885,0.06689377516258904,0.11025009967563815,1.8862089538569442,top_positive_return
2018-01-16 21:21:00,1228500,1300000,1227000,1291500,467.97221733,0.05128205128205132,0.05652342237708091,0.08134006701177623,2.955287486656341,top_positive_return
2018-01-16 22:34:00,1072000,1134000,1070000,1134000,493.11887269,0.059813084112149584,0.0564373897707231,0.1170754908089413,0.3313685699612356,top_positive_return
2018-01-17 20:21:00,1250000,1330000,1249000,1330000,265.62000681,0.06442577030812324,0.06090225563909774,0.12762979879166583,0.6470154576672644,top_positive_return
2018-01-17 22:24:00,1285000,1357000,1280000,1353000,613.1140274,0.052918287937743225,0.056910569105691054,0.08209756345016751,1.3011335522177085,top_positive_return
2018-01-24 14:01:00,1225500,1303000,1224500,1300000,4523.77950704,0.06165781951817073,0.060384615384615384,0.06221683089066066,7.458527065143935,top_positive_return
2018-12-20 16:27:00,122400,128800,122300,128700,12882.62394432,0.05147058823529416,0.050505050505050504,0.050993646402769106,7.456953620731687,top_positive_return
2018-12-20 16:28:00,128600,137600,128450,137600,14647.88497423,0.06915306915306907,0.06649709302325581,0.08225491647462188,5.637191316857259,top_positive_return
2017-12-06 16:38:00,557700,557700,510000,557600,66.76032442,0.10854870775347902,0.08554519368723099,0.8780955627452004,0.7220038189133966,top_realized_volatility
2017-12-06 16:39:00,556700,557300,554500,555000,132.92749514,-0.004662840746054497,0.005045045045045045,0.878108743575072,1.991560631451171,top_realized_volatility
2017-12-06 16:40:00,554600,554600,540000,554000,102.74425478,-0.0018018018018017834,0.02635379061371841,0.8781100002639735,1.3340325412008205,top_realized_volatility
2017-12-06 16:41:00,549900,550000,548000,549900,105.61760863,-0.007400722021660644,0.0036370249136206583,0.8781404312176586,1.341068269529357,top_realized_volatility
2017-12-06 16:42:00,549600,550000,549600,550000,155.61641844,0.00018185124568104172,0.0007272727272727272,0.8781317681895957,2.200811981677528,top_realized_volatility
2017-12-06 16:43:00,550000,553700,550000,553600,171.62864062,0.006545454545454632,0.006683526011560694,0.8781512356857301,2.3387453343296403,top_realized_volatility
2017-12-06 16:44:00,553700,553700,553600,553700,110.60763045,0.00018063583815020046,0.00018060321473722233,0.8781465353415906,1.2007232799837755,top_realized_volatility
2017-12-06 16:45:00,553700,553900,550300,553900,60.01659905,0.0003612064294744588,0.006499368116988626,0.8781465923138653,0.28512615717528267,top_realized_volatility
2017-12-06 16:46:00,553900,553900,553800,553800,1.5835701,-0.00018053800324968616,0.00018057060310581438,0.8781453402093541,-0.7436683323892296,top_realized_volatility
2017-12-06 16:47:00,553800,553800,550700,550700,23.21634216,-0.005597688696280301,0.005629199201016888,0.8781636001309947,-0.36249757329486826,top_realized_volatility
2017-12-06 16:48:00,550700,551000,550700,551000,14.1843447,0.0005447612130016211,0.000544464609800363,0.8781632953158238,-0.5271088356658383,top_realized_volatility
2017-12-06 16:49:00,553600,554600,551200,554600,218.14756853,0.006533575317604345,0.006130544536602957,0.8781722218408482,2.835287901186723,top_realized_volatility
2017-12-06 16:50:00,554600,555000,554500,555000,108.4941198,0.0007212405337180261,0.0009009009009009009,0.8781691759952254,0.9858615429551965,top_realized_volatility
2017-12-06 16:51:00,554900,555000,554900,555000,108.03566881,0.0,0.00018018018018018018,0.8781687806828581,0.9490138904200115,top_realized_volatility
2017-12-06 16:52:00,555000,555000,554600,555000,144.21399267,0.0,0.0007207207207207207,0.8781685680467344,1.481671099231313,top_realized_volatility
2018-12-20 16:27:00,122400,128800,122300,128700,12882.62394432,0.05147058823529416,0.050505050505050504,0.050993646402769106,7.456953620731687,top_volume
