model,n_test,event_rate,alert_rate,precision,recall,f1,false_positive_rate
rolling_zscore,249669,0.007177503013990523,0.011751559064201002,0.1901840490797546,0.31138392857142855,0.23614049936521372,0.009585399210092101
ewma,249669,0.007177503013990523,0.011975856033388205,0.1866220735785953,0.31138392857142855,0.23337515683814303,0.009811317709993262
iforest,249669,0.007177503013990523,0.0017703439353704304,0.26244343891402716,0.06473214285714286,0.10384959713518353,0.0013151684101388994
