date,pseudo_event,baseline_zscore,balanced_selected,conservative_selected,balanced_missed_day,conservative_missed_day
2019-09-26,11,18,11,5,False,False
2019-09-27,10,14,7,4,False,False
2019-09-28,8,15,6,2,False,False
2019-09-29,10,14,6,5,False,False
2019-09-30,5,16,10,7,False,False
2019-10-01,5,8,5,3,False,False
2019-10-02,4,12,2,2,False,False
2019-10-03,11,6,4,3,False,False
2019-10-04,6,11,8,4,False,False
2019-10-05,9,14,7,2,False,False
2019-10-06,12,14,5,4,False,False
2019-10-07,11,13,7,5,False,False
2019-10-08,6,11,6,4,False,False
2019-10-09,8,14,9,6,False,False
2019-10-10,3,10,8,4,False,False
2019-10-11,10,15,11,5,False,False
2019-10-12,9,10,6,2,False,False
2019-10-13,11,8,8,6,False,False
2019-10-14,12,8,6,2,False,False
2019-10-15,12,15,9,6,False,False
2019-10-16,8,13,12,7,False,False
2019-10-17,8,10,9,6,False,False
2019-10-18,10,9,7,5,False,False
2019-10-19,9,12,5,3,False,False
2019-10-20,6,8,6,5,False,False
2019-10-21,11,12,5,2,False,False
2019-10-22,10,9,9,5,False,False
2019-10-23,18,19,17,7,False,False
2019-10-24,7,13,8,5,False,False
2019-10-25,9,23,15,3,False,False
2019-10-26,8,14,4,1,False,False
2019-10-27,5,10,3,3,False,False
2019-10-28,11,11,9,4,False,False
2019-10-29,9,14,6,3,False,False
2019-10-30,10,11,7,4,False,False
2019-10-31,11,9,4,3,False,False
2019-11-01,10,11,9,3,False,False
2019-11-02,8,10,8,4,False,False
2019-11-03,5,3,2,0,False,True
