config_name,model,target_alert_rate,threshold,cooldown_min,point_precision,point_recall,point_f1,point_fpr,actual_alert_rate,pred_alert_count,true_event_count,event_precision,event_recall,event_f1,false_alerts_per_day,point_f1_delta_vs_baseline,point_fpr_reduction_vs_baseline,false_alerts_per_day_reduction_vs_baseline,event_f1_delta_vs_baseline,operating_role
baseline_zscore,zscore,0.0131918025435202,3.442974167463563,0,0.188385758727964,0.3029460811561978,0.23231031543052,0.0094727074676241,0.0115873416403317,2893,1530,0.3995852056688558,0.5130718954248366,0.4492726536846314,8.559226915601302,0.0,0.0,0.0,0.0,비교 기준
balanced_selected,zscore,0.0075,3.959979412992318,0,0.2535450935904708,0.2484713729849916,0.2509825940482875,0.005309234679469,0.0070613492263757,1763,1530,0.4804310833806012,0.4163398692810457,0.4460952127397898,4.513674067179501,0.01867227861776749,0.43952299829642716,0.47265400115141043,-0.0031774409448415697,기본 운영안
conservative_selected,zscore,0.005,4.371867104994919,20,0.3092243186582809,0.1639799888827126,0.2143116600072648,0.0026586517125912,0.0038210590822248,954,1530,0.5062893081761006,0.3444444444444444,0.4099720716280598,2.3208957266829096,-0.01799865542325521,0.7193356047700235,0.7288428324697754,-0.039300582056571554,보수 운영안
